Round,Pick,Team,Player,Position,College/Univ
5,171,NYJ,Jordan Travis,QB,Florida St.
5,172,PHI,Trevor Keegan,OL,Michigan
5,173,NYJ,Isaiah Davis,RB,South Dakota St.
5,174,DAL,Caelen Carson,DB,Wake Forest
5,175,NOR,Jaylan Ford,LB,Texas
5,176,NYJ,Qwan'tez Stiggers,CB,
6,177,MIN,Walter Rouse,OL,Oklahoma
6,178,PIT,Logan Lee,DL,Iowa
6,179,SEA,Sataoa Laumea,OL,Utah
6,180,NWE,Marcellas Dial,DB,South Carolina
6,181,LAC,Kimani Vidal,RB,Troy
6,182,TEN,Jha'Quan Jackson,WR,Tulane
6,183,NYG,Darius Muasau,LB,UCLA
6,184,MIA,Malik Washington,WR,Virginia
6,185,PHI,Johnny Wilson,WR,Florida St.
6,186,ATL,Jase McClellan,RB,Alabama
6,187,ATL,Casey Washington,WR,Illinois
6,188,HOU,Jamal Hill,LB,Oregon
6,189,DET,Mekhi Wingo,DT,LSU
6,190,PHI,Dylan McMahon,OL,North Carolina St.
6,191,ARI,Tejhaun Palmer,WR,Ala-Birmingham
6,192,SEA,D.J. James,CB,Auburn
6,193,NWE,Joe Milton,QB,Tennessee
6,194,CIN,Tanner McLachlan,TE,Arizona
6,195,PIT,Ryan Watts,SAF,Texas
6,196,LAR,Tyler Davis,DT,Clemson
6,197,ATL,Zion Logue,DL,Georgia
6,198,MIA,Patrick McMorris,DB,California
6,199,NOR,Khristian Boyd,DL,Northern Iowa
6,200,CAR,Jaden Crumedy,DT,Mississippi St.
6,201,IND,Micah Abraham,CB,Marshall
6,202,GNB,Travis Glover,OT,Georgia St.
6,203,MIN,Will Reichard,K,Alabama
6,204,BUF,Tylan Grable,OL,Central Florida
6,205,HOU,Jawhar Jordan,RB,Louisville
6,206,CLE,Nathaniel Watson,LB,Mississippi St.
6,207,SEA,Michael Jerrell,OT,Findlay
6,208,LVR,Dylan Laube,RB,New Hampshire
6,209,LAR,Joshua Karty,K,Stanford
6,210,DET,Christian Mahogany,OL,Boston Col.
6,211,KAN,Kamal Hadden,DB,Tennessee
6,212,JAX,Cam Little,K,Arkansas
6,213,LAR,Jordan Whittington,WR,Texas
6,214,CIN,Cedric Johnson,DE,Mississippi
6,215,SFO,Jarrett Kingston,OL,USC
6,216,DAL,Ryan Flournoy,WR,SE Missouri St.
6,217,LAR,Beaux Limmer,OL,Arkansas
6,218,BAL,Devin Leary,QB,Kentucky
6,219,BUF,Daequan Hardy,CB,Penn St.
6,220,TAM,Elijah Klein,G,Texas-El Paso
7,221,BUF,Travis Clayton,OT,
7,222,WAS,Javontae Jean-Baptiste,DL,Notre Dame
7,223,LVR,Trey Taylor,FS,Air Force
7,224,CIN,Daijahn Anthony,SAF,Mississippi
7,225,LAC,Brenden Rice,WR,USC
7,226,ARI,Jaden Davis,DB,Miami (FL)
7,227,CLE,Myles Harden,DB,South Dakota
7,228,BAL,Nick Samac,C,Michigan St.
7,229,LVR,M.J. Devonshire,DB,Pittsburgh
7,230,MIN,Michael Jurgens,OL,Wake Forest
7,231,NWE,Jaheim Bell,TE,Florida St.
7,232,MIN,Levi Drake Rodriguez,DT,Texas A&M-Commerce
7,233,DAL,Nathan Thomas,OL,Louisiana
7,234,IND,Jonah Laulu,DL,Oklahoma
7,235,DEN,Devaughn Vele,WR,Utah
7,236,JAX,Myles Cole,OLB,Texas Tech
7,237,CIN,Matt Lee,C,Miami (FL)
7,238,HOU,Solomon Byrd,DE,USC
7,239,NOR,Josiah Ezirim,OT,Eastern Kentucky
7,240,CAR,Michael Barrett,LB,Michigan
7,241,MIA,Tahj Washington,WR,USC
7,242,TEN,James Williams,SAF,Miami (FL)
7,243,CLE,Jowon Briggs,DE,Cincinnati
7,244,DAL,Justin Rogers,DL,Auburn
7,245,GNB,Michael Pratt,QB,Tulane
7,246,TAM,Devin Culp,TE,Washington
7,247,HOU,Marcus Harris,DL,Auburn
7,248,KAN,C.J. Hanson,G,Holy Cross
7,249,HOU,LaDarius Henderson,OL,Michigan
7,250,BAL,Sanoussi Kane,SAF,Purdue
7,251,SFO,Tatum Bethune,LB,Florida St.
7,252,TEN,Jaylen Harrell,DE,Michigan
7,253,LAC,Cornelius Johnson,WR,Michigan
7,254,LAR,KT Leveston,OL,Kansas St.
7,255,GNB,Kalen King,CB,Penn St.
7,256,DEN,Nick Gargiulo,OL,South Carolina
7,257,NYJ,Jaylen Key,SAF,Alabama
